"Year","Month","Flow"
1969,1,17420
1969,2,14165
1969,3,12405
1969,4,14155
1969,5,12170
1969,6,18915
1969,7,13970
1969,8,7975
1969,9,6035
1969,10,14140
1969,11,17545
1969,12,16395
1970,1,14055
1970,2,16946
1970,3,19184
1970,4,13533
1970,5,10890
1970,6,10993
1970,7,14448
1970,8,7761
1970,9,8647
1970,10,15445
1970,11,10193
1970,12,9852
1971,1,22647
1971,2,18218
1971,3,16802
1971,4,16937
1971,5,18460
1971,6,18077
1971,7,17495
1971,8,13192
1971,9,9547
1971,10,11227
1971,11,9218
1971,12,11280
1972,1,13965
1972,2,18010
1972,3,21545
1972,4,17395
1972,5,11650
1972,6,15185
1972,7,14605
1972,8,14425
1972,9,19560
1972,10,25430
1972,11,21145
1972,12,25035
1973,1,23780
1973,2,25615
1973,3,22145
1973,4,19895
1973,5,18840
1973,6,18185
1973,7,19710
1973,8,15840
1973,9,18515
1973,10,19520
1973,11,16820
1973,12,16475
1974,1,23150
1974,2,24355
1974,3,20740
1974,4,25705
1974,5,19375
1974,6,19595
1974,7,20365
1974,8,16460
1974,9,17065
1974,10,13120
1974,11,15780
1974,12,16030
1975,1,20830
1975,2,19375
1975,3,17000
1975,4,18000
1975,5,16530
1975,6,14270
1975,7,13810
1975,8,14205
1975,9,14645
1975,10,20730
1975,11,18405
1975,12,22010
1976,1,21550
1976,2,22650
1976,3,21100
1976,4,19050
1976,5,14400
1976,6,21000
1976,7,15600
1976,8,16850
1976,9,17500
1976,10,17600
1976,11,21000
1976,12,21350
1977,1,27000
1977,2,29500
1977,3,19850
1977,4,19950
1977,5,17500
1977,6,15450
1977,7,16000
1977,8,14350
1977,9,14800
1977,10,14500
1977,11,14600
1977,12,20000
1978,1,20300
1978,2,19450
1978,3,18050
1978,4,14700
1978,5,12250
1978,6,13700
1978,7,14150
1978,8,16350
1978,9,15500
1978,10,13250
1978,11,14700
1978,12,14900
1979,1,17350
1979,2,21000
1979,3,20500
1979,4,17800
1979,5,21800
1979,6,20300
1979,7,19000
1979,8,19900
1979,9,21350
1979,10,22500
1979,11,23700
1979,12,22750
